,Name,Team,Number,Position,Age,Height,Weight,College,Salary
222,Johnny O'Bryant III,Milwaukee Bucks,77.0,PF,23.0,2.0574,116.57323909,LSU,845059.0
223,Jabari Parker,Milwaukee Bucks,12.0,PF,21.0,2.032,113.3980925,Duke,5152440.0
224,Miles Plumlee,Milwaukee Bucks,18.0,C,27.0,2.1082,112.94450013000001,Duke,2109294.0
225,Greivis Vasquez,Milwaukee Bucks,21.0,PG,29.0,1.9812,98.42954429000001,Maryland,6600000.0
226,Rashad Vaughn,Milwaukee Bucks,20.0,SG,19.0,1.9812,91.62565874,UNLV,1733040.0
227,Justin Anderson,Dallas Mavericks,1.0,SG,22.0,1.9812,103.41906036,Virginia,1449000.0
228,J.J. Barea,Dallas Mavericks,5.0,PG,31.0,1.8288000000000002,83.91458845000001,Northeastern,4290000.0
229,Jeremy Evans,Dallas Mavericks,21.0,SF,28.0,2.0574,90.718474,Western Kentucky,1100602.0
230,Raymond Felton,Dallas Mavericks,2.0,PG,31.0,1.8542,92.98643585,North Carolina,3950313.0
231,Devin Harris,Dallas Mavericks,34.0,PG,33.0,1.905,83.91458845000001,Wisconsin,4053446.0
232,David Lee,Dallas Mavericks,42.0,PF,33.0,2.0574,111.13013065000001,Florida,2085671.0
233,Wesley Matthews,Dallas Mavericks,23.0,SG,29.0,1.9558000000000002,99.79032140000001,Marquette,16407500.0
234,JaVale McGee,Dallas Mavericks,11.0,C,28.0,2.1336,122.4699399,Nevada,1270964.0
238,Chandler Parsons,Dallas Mavericks,25.0,SF,27.0,2.0828,104.32624510000001,Florida,15361500.0
239,Dwight Powell,Dallas Mavericks,7.0,PF,24.0,2.1082,108.8621688,Stanford,845059.0
240,Charlie Villanueva,Dallas Mavericks,3.0,PF,31.0,2.1082,105.23342984,Connecticut,947276.0
241,Deron Williams,Dallas Mavericks,8.0,PG,31.0,1.905,90.718474,Illinois,5378974.0
242,Trevor Ariza,Houston Rockets,1.0,SF,30.0,2.032,97.52235955,UCLA,8193030.0
243,Michael Beasley,Houston Rockets,8.0,SF,27.0,2.0828,106.59420695,Kansas State,306527.0
244,Patrick Beverley,Houston Rockets,2.0,PG,27.0,1.8542,83.91458845000001,Arkansas,6486486.0
245,Corey Brewer,Houston Rockets,33.0,SG,30.0,2.0574,84.36818082,Florida,8229375.0
247,Sam Dekker,Houston Rockets,7.0,SF,22.0,2.0574,104.32624510000001,Wisconsin,1646400.0
248,Andrew Goudelock,Houston Rockets,0.0,PG,27.0,1.905,90.718474,Charleston,200600.0
249,James Harden,Houston Rockets,13.0,SG,26.0,1.9558000000000002,99.79032140000001,Arizona State,15756438.0
250,Montrezl Harrell,Houston Rockets,35.0,PF,22.0,2.032,108.8621688,Louisville,1000000.0
252,Terrence Jones,Houston Rockets,6.0,PF,24.0,2.0574,114.30527724000001,Kentucky,2489530.0
253,K.J. McDaniels,Houston Rockets,32.0,SG,23.0,1.9812,92.98643585,Clemson,3189794.0
256,Jason Terry,Houston Rockets,31.0,SG,38.0,1.8796000000000002,83.91458845000001,Arizona,947276.0
257,Jordan Adams,Memphis Grizzlies,3.0,SG,21.0,1.9558000000000002,94.80080533,UCLA,1404600.0
258,Tony Allen,Memphis Grizzlies,9.0,SG,34.0,1.9304000000000001,96.61517481,Oklahoma State,5158539.0
259,Chris Andersen,Memphis Grizzlies,7.0,PF,37.0,2.0828,111.13013065000001,Blinn College,5000000.0
260,Matt Barnes,Memphis Grizzlies,22.0,SF,36.0,2.0066,102.51187562000001,UCLA,3542500.0
261,Vince Carter,Memphis Grizzlies,15.0,SG,39.0,1.9812,99.79032140000001,North Carolina,4088019.0
262,Mike Conley,Memphis Grizzlies,11.0,PG,28.0,1.8542,79.37866475,Ohio State,9588426.0
263,Bryce Cotton,Memphis Grizzlies,8.0,PG,23.0,1.8542,74.84274105,Providence,700902.0
266,JaMychal Green,Memphis Grizzlies,0.0,PF,25.0,2.0574,102.96546799000001,Alabama,845059.0
267,P.J. Hairston,Memphis Grizzlies,19.0,SF,23.0,1.9812,104.32624510000001,North Carolina,1201440.0
268,Jarell Martin,Memphis Grizzlies,10.0,PF,22.0,2.0828,108.40857643000001,LSU,1230840.0
271,Zach Randolph,Memphis Grizzlies,50.0,PF,34.0,2.0574,117.9340162,Michigan State,9638555.0
272,Lance Stephenson,Memphis Grizzlies,1.0,SF,25.0,1.9558000000000002,104.32624510000001,Cincinnati,9000000.0
274,Brandan Wright,Memphis Grizzlies,34.0,PF,28.0,2.0828,95.2543977,North Carolina,5464000.0
276,Ryan Anderson,New Orleans Pelicans,33.0,PF,28.0,2.0828,108.8621688,California,8500000.0
278,Luke Babbitt,New Orleans Pelicans,8.0,SF,26.0,2.0574,102.05828325,Nevada,1100602.0
279,Norris Cole,New Orleans Pelicans,30.0,PG,27.0,1.8796000000000002,79.37866475,Cleveland State,3036927.0
280,Dante Cunningham,New Orleans Pelicans,44.0,PF,29.0,2.032,104.32624510000001,Villanova,2850000.0
281,Anthony Davis,New Orleans Pelicans,23.0,PF,23.0,2.0828,114.75886961,Kentucky,7070730.0
282,Bryce Dejean-Jones,New Orleans Pelicans,31.0,SG,23.0,1.9812,92.07925111,Iowa State,169883.0
283,Toney Douglas,New Orleans Pelicans,16.0,PG,30.0,1.8796000000000002,88.45051215000001,Florida State,1164858.0
284,James Ennis,New Orleans Pelicans,4.0,SF,25.0,2.0066,95.2543977,Long Beach State,845059.0
285,Tyreke Evans,New Orleans Pelicans,1.0,SG,26.0,1.9812,99.79032140000001,Memphis,10734586.0
286,Tim Frazier,New Orleans Pelicans,2.0,PG,25.0,1.8542,77.1107029,Penn State,845059.0
287,Alonzo Gee,New Orleans Pelicans,15.0,SF,29.0,1.9812,102.05828325,Alabama,1320000.0
288,Eric Gordon,New Orleans Pelicans,10.0,SG,27.0,1.9304000000000001,97.52235955,Indiana,15514031.0
289,Jordan Hamilton,New Orleans Pelicans,25.0,SG,25.0,2.0066,99.79032140000001,Texas,1015421.0
290,Jrue Holiday,New Orleans Pelicans,11.0,PG,25.0,1.9304000000000001,92.98643585,UCLA,10595507.0
291,Orlando Johnson,New Orleans Pelicans,0.0,SG,27.0,1.9558000000000002,99.79032140000001,UC Santa Barbara,55722.0
293,Quincy Pondexter,New Orleans Pelicans,20.0,SF,28.0,2.0066,99.79032140000001,Washington,3382023.0
294,LaMarcus Aldridge,San Antonio Spurs,12.0,PF,30.0,2.1082,108.8621688,Texas,19689000.0
295,Kyle Anderson,San Antonio Spurs,1.0,SF,22.0,2.0574,104.32624510000001,UCLA,1142880.0
296,Matt Bonner,San Antonio Spurs,15.0,C,36.0,2.0828,106.59420695,Florida,947276.0
298,Tim Duncan,San Antonio Spurs,21.0,C,40.0,2.1082,113.3980925,Wake Forest,5250000.0
300,Danny Green,San Antonio Spurs,14.0,SG,28.0,1.9812,97.52235955,North Carolina,10000000.0
301,Kawhi Leonard,San Antonio Spurs,2.0,SF,24.0,2.0066,104.32624510000001,San Diego State,16407500.0
303,Kevin Martin,San Antonio Spurs,23.0,SG,33.0,2.0066,90.26488163,Western Carolina,200600.0
304,Andre Miller,San Antonio Spurs,24.0,PG,40.0,1.905,90.718474,Utah,250750.0
305,Patty Mills,San Antonio Spurs,8.0,PG,27.0,1.8288000000000002,83.91458845000001,Saint Mary's,3578947.0
307,Jonathon Simmons,San Antonio Spurs,17.0,SG,26.0,1.9812,88.45051215000001,Houston,525093.0
308,David West,San Antonio Spurs,30.0,PF,35.0,2.0574,113.3980925,Xavier,1499187.0
309,Kent Bazemore,Atlanta Hawks,24.0,SF,26.0,1.9558000000000002,91.17206637000001,Old Dominion,2000000.0
310,Tim Hardaway Jr.,Atlanta Hawks,10.0,SG,24.0,1.9812,92.98643585,Michigan,1304520.0
311,Kirk Hinrich,Atlanta Hawks,12.0,SG,35.0,1.9304000000000001,86.1825503,Kansas,2854940.0
312,Al Horford,Atlanta Hawks,15.0,C,30.0,2.0828,111.13013065000001,Florida,12000000.0
313,Kris Humphries,Atlanta Hawks,43.0,PF,31.0,2.0574,106.59420695,Minnesota,1000000.0
314,Kyle Korver,Atlanta Hawks,26.0,SG,35.0,2.0066,96.16158244,Creighton,5746479.0
315,Paul Millsap,Atlanta Hawks,4.0,PF,31.0,2.032,111.58372302000001,Louisiana Tech,18671659.0
316,Mike Muscala,Atlanta Hawks,31.0,PF,24.0,2.1082,108.8621688,Bucknell,947276.0
317,Lamar Patterson,Atlanta Hawks,13.0,SG,24.0,1.9558000000000002,102.05828325,Pittsburgh,525093.0
319,Mike Scott,Atlanta Hawks,32.0,PF,27.0,2.032,107.50139169,Virginia,3333333.0
323,Jeff Teague,Atlanta Hawks,0.0,PG,27.0,1.8796000000000002,84.36818082,Wake Forest,8000000.0
325,Troy Daniels,Charlotte Hornets,30.0,SG,24.0,1.9304000000000001,92.98643585,Virginia Commonwealth,947276.0
326,Jorge Gutierrez,Charlotte Hornets,12.0,PG,27.0,1.905,85.72895793,California,189455.0
327,Tyler Hansbrough,Charlotte Hornets,50.0,PF,30.0,2.0574,113.3980925,North Carolina,947276.0
328,Aaron Harrison,Charlotte Hornets,9.0,SG,21.0,1.9812,95.2543977,Kentucky,525093.0
329,Spencer Hawes,Charlotte Hornets,0.0,PF,28.0,2.159,111.13013065000001,Washington,6110034.0
331,Frank Kaminsky III,Charlotte Hornets,44.0,C,23.0,2.1336,108.8621688,Wisconsin,2612520.0
332,Michael Kidd-Gilchrist,Charlotte Hornets,14.0,SF,22.0,2.0066,105.23342984,Kentucky,6331404.0
333,Jeremy Lamb,Charlotte Hornets,3.0,SG,24.0,1.9558000000000002,83.91458845000001,Connecticut,3034356.0
334,Courtney Lee,Charlotte Hornets,1.0,SG,30.0,1.9558000000000002,90.718474,Western Kentucky,5675000.0
335,Jeremy Lin,Charlotte Hornets,7.0,PG,27.0,1.905,90.718474,Harvard,2139000.0
336,Kemba Walker,Charlotte Hornets,15.0,PG,26.0,1.8542,83.46099608,Connecticut,12000000.0
337,Marvin Williams,Charlotte Hornets,2.0,PF,29.0,2.0574,107.50139169,North Carolina,7000000.0
338,Cody Zeller,Charlotte Hornets,40.0,C,23.0,2.1336,108.8621688,Indiana,4204200.0
339,Chris Bosh,Miami Heat,1.0,PF,32.0,2.1082,106.59420695,Georgia Tech,22192730.0
340,Luol Deng,Miami Heat,9.0,SF,31.0,2.0574,99.79032140000001,Duke,10151612.0
343,Udonis Haslem,Miami Heat,40.0,PF,36.0,2.032,106.59420695,Florida,2854940.0
344,Joe Johnson,Miami Heat,2.0,SF,34.0,2.0066,108.8621688,Arkansas,261894.0
345,Tyler Johnson,Miami Heat,8.0,SG,24.0,1.9304000000000001,84.36818082,Fresno State,845059.0
346,Josh McRoberts,Miami Heat,4.0,PF,29.0,2.0828,108.8621688,Duke,5543725.0
347,Josh Richardson,Miami Heat,0.0,SG,22.0,1.9812,90.718474,Tennessee,525093.0
349,Dwyane Wade,Miami Heat,3.0,SG,34.0,1.9304000000000001,99.79032140000001,Marquette,20000000.0
351,Hassan Whiteside,Miami Heat,21.0,C,26.0,2.1336,120.20197805000001,Marshall,981348.0
352,Justise Winslow,Miami Heat,20.0,SF,20.0,2.0066,102.05828325,Duke,2481720.0
354,Dewayne Dedmon,Orlando Magic,3.0,C,26.0,2.1336,111.13013065000001,USC,947276.0
356,Aaron Gordon,Orlando Magic,0.0,PF,20.0,2.0574,99.79032140000001,Arizona,4171680.0
360,Devyn Marble,Orlando Magic,11.0,SF,23.0,1.9812,90.718474,Iowa,845059.0
361,Shabazz Napier,Orlando Magic,13.0,PG,24.0,1.8542,79.37866475,Connecticut,1294440.0
362,Andrew Nicholson,Orlando Magic,44.0,PF,26.0,2.0574,113.3980925,St. Bonaventure,2380593.0
363,Victor Oladipo,Orlando Magic,5.0,SG,24.0,1.9304000000000001,95.2543977,Indiana,5192520.0
364,Elfrid Payton,Orlando Magic,4.0,PG,22.0,1.9304000000000001,83.91458845000001,Louisiana-Lafayette,2505720.0
365,Jason Smith,Orlando Magic,14.0,PF,30.0,2.1336,108.8621688,Colorado State,4300000.0
366,Nikola Vucevic,Orlando Magic,9.0,C,25.0,2.1336,117.9340162,USC,11250000.0
367,C.J. Watson,Orlando Magic,32.0,PG,32.0,1.8796000000000002,79.37866475,Tennessee,5000000.0
368,Alan Anderson,Washington Wizards,6.0,SG,33.0,1.9812,99.79032140000001,Michigan State,4000000.0
369,Bradley Beal,Washington Wizards,3.0,SG,22.0,1.9558000000000002,93.89362059,Florida,5694674.0
370,Jared Dudley,Washington Wizards,1.0,SF,30.0,2.0066,102.05828325,Boston College,4375000.0
371,Jarell Eddie,Washington Wizards,8.0,SG,24.0,2.0066,98.88313666,Virginia Tech,561716.0
372,Drew Gooden,Washington Wizards,90.0,PF,34.0,2.0828,113.3980925,Kansas,3300000.0
374,JJ Hickson,Washington Wizards,21.0,C,27.0,2.0574,109.76935354000001,North Carolina State,273038.0
376,Markieff Morris,Washington Wizards,5.0,PF,26.0,2.0828,111.13013065000001,Kansas,8000000.0
377,Kelly Oubre Jr.,Washington Wizards,12.0,SF,20.0,2.0066,92.98643585,Kansas,1920240.0
378,Otto Porter Jr.,Washington Wizards,22.0,SF,23.0,2.032,89.81128926000001,Georgetown,4662960.0
379,Ramon Sessions,Washington Wizards,7.0,PG,30.0,1.905,86.1825503,Nevada,2170465.0
380,Garrett Temple,Washington Wizards,17.0,SG,30.0,1.9812,88.45051215000001,LSU,1100602.0
381,Marcus Thornton,Washington Wizards,15.0,SF,29.0,1.9304000000000001,92.98643585,LSU,200600.0
382,John Wall,Washington Wizards,2.0,PG,25.0,1.9304000000000001,88.45051215000001,Kentucky,15851950.0
383,Darrell Arthur,Denver Nuggets,0.0,PF,28.0,2.0574,106.59420695,Kansas,2814000.0
384,D.J. Augustin,Denver Nuggets,12.0,PG,28.0,1.8288000000000002,83.00740371,Texas,3000000.0
385,Will Barton,Denver Nuggets,5.0,SF,25.0,1.9812,79.37866475,Memphis,3533333.0
386,Wilson Chandler,Denver Nuggets,21.0,SF,29.0,2.032,102.05828325,DePaul,10449438.0
387,Kenneth Faried,Denver Nuggets,35.0,PF,26.0,2.032,103.41906036,Morehead State,11235955.0
389,Gary Harris,Denver Nuggets,14.0,SG,21.0,1.9304000000000001,95.2543977,Michigan State,1584480.0
392,Mike Miller,Denver Nuggets,3.0,SG,36.0,2.032,98.88313666,Florida,947276.0
394,Jameer Nelson,Denver Nuggets,1.0,PG,34.0,1.8288000000000002,86.1825503,Saint Joseph's,4345000.0
396,JaKarr Sampson,Denver Nuggets,9.0,SG,23.0,2.0574,97.06876718000001,St. John's,258489.0
399,Gorgui Dieng,Minnesota Timberwolves,5.0,C,26.0,2.1082,109.31576117,Louisville,1474440.0
401,Tyus Jones,Minnesota Timberwolves,1.0,PG,20.0,1.8796000000000002,88.45051215000001,Duke,1282080.0
402,Zach LaVine,Minnesota Timberwolves,8.0,PG,21.0,1.9558000000000002,85.72895793,UCLA,2148360.0
403,Shabazz Muhammad,Minnesota Timberwolves,15.0,SF,23.0,1.9812,101.15109851000001,UCLA,2056920.0
404,Adreian Payne,Minnesota Timberwolves,33.0,PF,25.0,2.0828,107.50139169,Michigan State,1938840.0
406,Tayshaun Prince,Minnesota Timberwolves,12.0,SF,36.0,2.0574,96.16158244,Kentucky,947276.0
410,Karl-Anthony Towns,Minnesota Timberwolves,32.0,C,20.0,2.1336,110.67653828,Kentucky,5703600.0
411,Andrew Wiggins,Minnesota Timberwolves,22.0,SG,21.0,2.032,90.26488163,Kansas,5758680.0
412,Steven Adams,Oklahoma City Thunder,12.0,C,22.0,2.1336,115.66605435000001,Pittsburgh,2279040.0
413,Nick Collison,Oklahoma City Thunder,4.0,PF,35.0,2.0828,115.66605435000001,Kansas,3750000.0
414,Kevin Durant,Oklahoma City Thunder,35.0,SF,27.0,2.0574,108.8621688,Texas,20158622.0
415,Randy Foye,Oklahoma City Thunder,6.0,SG,32.0,1.9304000000000001,96.61517481,Villanova,3135000.0
416,Josh Huestis,Oklahoma City Thunder,34.0,SF,24.0,2.0066,104.32624510000001,Stanford,1140240.0
418,Enes Kanter,Oklahoma City Thunder,11.0,C,24.0,2.1082,111.13013065000001,Kentucky,16407500.0
419,Mitch McGary,Oklahoma City Thunder,33.0,PF,24.0,2.0828,115.66605435000001,Michigan,1463040.0
420,Nazr Mohammed,Oklahoma City Thunder,13.0,C,38.0,2.0828,113.3980925,Kentucky,222888.0
421,Anthony Morrow,Oklahoma City Thunder,2.0,SG,30.0,1.9558000000000002,95.2543977,Georgia Tech,3344000.0
422,Cameron Payne,Oklahoma City Thunder,22.0,PG,21.0,1.905,83.91458845000001,Murray State,2021520.0
423,Andre Roberson,Oklahoma City Thunder,21.0,SG,24.0,2.0066,95.2543977,Colorado,1210800.0
424,Kyle Singler,Oklahoma City Thunder,5.0,SF,28.0,2.032,103.41906036,Duke,4500000.0
425,Dion Waiters,Oklahoma City Thunder,3.0,SG,24.0,1.9304000000000001,99.79032140000001,Syracuse,5138430.0
426,Russell Westbrook,Oklahoma City Thunder,0.0,PG,27.0,1.905,90.718474,UCLA,16744218.0
427,Cliff Alexander,Portland Trail Blazers,34.0,PF,20.0,2.032,108.8621688,Kansas,525093.0
428,Al-Farouq Aminu,Portland Trail Blazers,8.0,SF,25.0,2.0574,97.52235955,Wake Forest,8042895.0
429,Pat Connaughton,Portland Trail Blazers,5.0,SG,23.0,1.9558000000000002,93.44002822,Notre Dame,625093.0
430,Allen Crabbe,Portland Trail Blazers,23.0,SG,24.0,1.9812,95.2543977,California,947276.0
431,Ed Davis,Portland Trail Blazers,17.0,C,27.0,2.0828,108.8621688,North Carolina,6980802.0
432,Maurice Harkless,Portland Trail Blazers,4.0,SF,23.0,2.0574,97.52235955,St. John's,2894059.0
433,Gerald Henderson,Portland Trail Blazers,9.0,SG,28.0,1.9558000000000002,97.52235955,Duke,6000000.0
434,Chris Kaman,Portland Trail Blazers,35.0,C,34.0,2.1336,120.20197805000001,Central Michigan,5016000.0
435,Meyers Leonard,Portland Trail Blazers,11.0,PF,24.0,2.159,111.13013065000001,Illinois,3075880.0
436,Damian Lillard,Portland Trail Blazers,0.0,PG,25.0,1.905,88.45051215000001,Weber State,4236287.0
437,C.J. McCollum,Portland Trail Blazers,3.0,SG,24.0,1.9304000000000001,90.718474,Lehigh,2525160.0
438,Luis Montero,Portland Trail Blazers,44.0,SG,23.0,2.0066,83.91458845000001,Westchester CC,525093.0
439,Mason Plumlee,Portland Trail Blazers,24.0,C,26.0,2.1082,106.59420695,Duke,1415520.0
440,Brian Roberts,Portland Trail Blazers,2.0,PG,30.0,1.8542,78.47148001000001,Dayton,2854940.0
441,Noah Vonleh,Portland Trail Blazers,21.0,PF,20.0,2.0574,108.8621688,Indiana,2637720.0
442,Trevor Booker,Utah Jazz,33.0,PF,28.0,2.032,103.41906036,Clemson,4775000.0
443,Trey Burke,Utah Jazz,3.0,PG,23.0,1.8542,86.63614267,Michigan,2658240.0
444,Alec Burks,Utah Jazz,10.0,SG,24.0,1.9812,97.06876718000001,Colorado,9463484.0
446,Derrick Favors,Utah Jazz,15.0,PF,24.0,2.0828,120.20197805000001,Georgia Tech,12000000.0
448,Gordon Hayward,Utah Jazz,20.0,SF,26.0,2.032,102.51187562000001,Butler,15409570.0
449,Rodney Hood,Utah Jazz,5.0,SG,23.0,2.032,93.44002822,Duke,1348440.0
451,Chris Johnson,Utah Jazz,23.0,SF,26.0,1.9812,93.44002822,Dayton,981348.0
452,Trey Lyles,Utah Jazz,41.0,PF,20.0,2.0828,106.14061458,Kentucky,2239800.0
453,Shelvin Mack,Utah Jazz,8.0,PG,26.0,1.905,92.07925111,Butler,2433333.0
456,Jeff Withey,Utah Jazz,24.0,C,26.0,2.1336,104.77983747,Kansas,947276.0
